CITY;STATE;CAPITAL;IBGE_RES_POP;IBGE_RES_POP_BRAS;IBGE_RES_POP_ESTR;IBGE_DU;IBGE_DU_URBAN;IBGE_DU_RURAL;IBGE_POP;IBGE_1;IBGE_1-4;IBGE_5-9;IBGE_10-14;IBGE_15-59;IBGE_60+;IBGE_PLANTED_AREA;IBGE_CROP_PRODUCTION_$;IDHM Ranking 2010;IDHM;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;LONG;LAT;ALT;PAY_TV;FIXED_PHONES;AREA;REGIAO_TUR;CATEGORIA_TUR;ESTIMATED_POP;RURAL_URBAN;GVA_AGROPEC;GVA_INDUSTRY;GVA_SERVICES;GVA_PUBLIC; GVA_TOTAL ;TAXES;GDP;POP_GDP;GDP_CAPITA;GVA_MAIN;MUN_EXPENDIT;COMP_TOT;COMP_A;COMP_B;COMP_C;COMP_D;COMP_E;COMP_F;COMP_G;COMP_H;COMP_I;COMP_J;COMP_K;COMP_L;COMP_M;COMP_N;COMP_O;COMP_P;COMP_Q;COMP_R;COMP_S;COMP_T;COMP_U;HOTELS;BEDS;Pr_Agencies;Pu_Agencies;Pr_Bank;Pu_Bank;Pr_Assets;Pu_Assets;Cars;Motorcycles;Wheeled_tractor;UBER;MAC;WAL-MART;POST_OFFICES
Abreu E Lima;PE;0;94429;94407;22;28182;25944;2238;81482;1050;4405;6255;7019;54749;8004;387;2595;2477;0.679;0.625;0.791;0.632;-34.89913058;-7.90444899;27.06;1418;4661;126.19;Costa Náutica Coroa Do Avião;D;99622;Urbano;7.8;384262.09;526.04;336141.88;1254241.3;170264.52;1424505.83;98990;14390.4;Demais serviços;119645700;841;1;0;130;0;2;26;434;27;36;14;3;4;18;30;2;47;20;6;41;0;0;;;2;3;2;3;155632735;460626103;14579;10122;0;;;;1
Abreulândia;TO;0;2391;2391;0;760;445;315;1476;21;107;172;182;872;122;13102;31281;2786;0.665;0.7;0.835;0.502;-49.16243756;-9.621790712;238.86;14;29;1,895.21;;;2564;Rural Adjacente;20312.55;2108.24;6802.38;16520.91;45744.07;1634.18;47378.25;2555;18543.35;Administração, defesa, educação e saúde públicas e seguridade social;9712530;27;4;0;0;0;0;3;11;0;1;1;0;0;1;1;4;0;0;0;1;0;0;;;;;;;;;190;318;0;;;;1
Acaiaca;MG;0;3920;3920;0;1264;834;430;2550;31;150;197;256;1581;335;208;509;3493;0.63;0.61;0.823;0.499;-43.1482389;-20.36040893;492.79;229;133;101.89;Serras De Minas;E;3994;Rural Adjacente;3838.68;1892.39;11978.78;17695.77;35405.62;1018.41;36424.03;4061;8969.23;Administração, defesa, educação e saúde públicas e seguridade social;12182050;60;1;3;8;0;0;2;24;1;4;1;0;0;1;3;2;5;1;0;4;0;0;;;;;;;;;899;598;0;;;;1
Açailândia;MA;0;104047;104018;29;27523;20612;6911;78081;1442;5896;7924;8368;49197;5254;27137;89420;2633;0.672;0.643;0.785;0.602;-47.50666459;-4.951377;229.05;1225;2618;5,806.44;;;111757;Urbano;159853.84;488799.22;779.84;364811.85;1793302.18;206244.13;1999546.31;110543;18088.4;Demais serviços;214456331;1334;47;1;113;0;5;75;657;61;80;18;5;21;38;72;3;21;52;12;53;0;0;2;56;2;3;2;3;125525251;1494221307;9935;24208;17;;;;1
Acajutiba;BA;0;14653;14643;10;4116;3632;484;12727;216;849;1282;1404;7412;1564;4570;11442;4613;0.58;0.56;0.723;0.487;-38.01828637;-11.66261283;183.93;426;297;181.48;;;15129;Rural Adjacente;23176.61;7.02;33546.04;48142.87;111888.63;3269.82;115158.46;15764;7305.15;Administração, defesa, educação e saúde públicas e seguridade social;27275310;96;2;0;4;0;0;1;57;2;3;1;2;0;1;2;3;3;4;2;9;0;0;;;0;1;0;1;0;50185684;834;1444;0;;;;1
Acará;PA;0;53569;53516;53;11833;3014;8819;12590;265;1082;1436;1537;7281;989;41637;342851;5513;0.506;0.517;0.757;0.332;-48.20045643;-1.9634365;7.4;964;181;4,343.55;Araguaia-Tocantins;D;55513;Rural Adjacente;441281.74;43934.34;97080.41;188941.14;771237.62;17.18;788.42;54080;14578.7;Agricultura, inclusive apoio à agricultura e a pós colheita;106368816;162;8;3;6;0;0;4;99;3;2;1;0;0;1;3;3;12;0;1;16;0;0;;;1;1;1;1;22821995;37523391;652;3342;0;;;;1
Acarape;CE;0;15338;15338;0;4186;2181;2005;8189;142;554;693;855;5149;796;1386;1274;4009;0.606;0.559;0.709;0.562;-38.70562377;-4.223138409;94.51;692;91;155.17;;;15399;Intermediário Adjacente;4.68;23265.11;36147.88;54.65;118741.09;9649.83;128390.92;16418;7820.13;Administração, defesa, educação e saúde públicas e seguridade social;33078580;132;2;9;39;0;0;2;54;4;2;0;0;0;1;3;3;5;0;0;8;0;0;;;;;;;;;1089;1246;0;;;;2
Acaraú;CE;0;57551;57542;9;14680;7410;7270;24117;358;1615;2084;2558;15123;2379;18505;38871;4125;0.601;0.554;0.758;0.517;-40.11824147;-2.88531054;17.29;3032;479;845.47;Litoral Extremo Oeste;C;62557;Rural Adjacente;74352.86;94123.87;187.46;188055.4;543990.18;36737.25;580727.43;61715;9409.83;Administração, defesa, educação e saúde públicas e seguridade social;101483437;638;41;1;38;8;0;6;363;7;28;3;0;6;9;14;2;71;17;6;18;0;0;;;1;3;1;3;57802114;529074069;3371;10448;0;;;;1
Acari;RN;0;11035;11030;5;3298;2721;577;8260;111;404;556;658;5217;1314;375;1977;2462;0.679;0.633;0.779;0.634;-36.64373887;-6.442085089;258.84;947;146;608.47;Polo Seridó;D;11152;Intermediário Adjacente;12.58;9.27;30.36;50992.14;103203.25;5380.07;108583.31;11338;9576.94;Administração, defesa, educação e saúde públicas e seguridade social;22943205;167;4;0;33;1;0;5;83;0;5;1;1;1;2;4;2;12;2;1;10;0;0;1;34;;;;;;;1259;1802;0;;;;1
Acauã;PI;0;6749;6749;0;1877;266;1611;901;13;74;83;99;558;74;5520;503;5408;0.528;0.517;0.692;0.411;-41.08363782;-8.220786663;372.31;6;28;1,279.59;Polo Histórico Cultural;E;7065;Rural Adjacente;6.05;1556.09;7052.14;25754.39;40410.01;2192.56;42602.57;6951;6128.98;Administração, defesa, educação e saúde públicas e seguridade social;14935714;77;0;0;2;0;1;0;20;4;3;1;0;0;0;2;7;1;0;0;36;0;0;;;;;;;;;272;1014;0;;;;1
Aceguá;RS;0;4394;4265;129;1398;314;1084;1059;17;46;76;119;684;117;31149;119866;2259;0.687;0.703;0.852;0.541;-54.16473154;-31.8640153;237.92;171;298;1,551.34;Pampa Gaúcho;D;4858;Urbano;130383.04;10632.62;66901.48;30193.24;238110.37;12221.86;250332.23;4731;52913.18;Agricultura, inclusive apoio à agricultura e a pós colheita;22028721;168;8;0;8;0;1;2;86;8;9;0;1;0;2;13;3;6;3;5;13;0;0;;;0;1;0;1;0;13450411;2046;591;5;;;;2
Acopiara;CE;0;51160;51160;0;15041;7885;7156;25159;365;1521;1929;2422;15121;3801;17482;4244;4279;0.595;0.563;0.724;0.517;-39.45570528;-6.092761995;312.96;426;598;2,265.35;;;53931;Rural Adjacente;35057.66;17008.7;137661.95;155449.9;345.18;26.52;371701.24;53358;6966.18;Administração, defesa, educação e saúde públicas e seguridade social;85042995;365;2;0;26;0;0;6;255;1;15;5;1;4;7;5;2;5;2;4;25;0;0;1;22;1;3;1;3;33077714;262320355;3158;11056;0;;;;10
Acorizal;MT;0;5516;5516;0;1742;899;843;2926;37;160;257;287;1793;392;278;2299;3523;0.628;0.594;0.816;0.51;-56.37155257;-15.19788998;201.78;187;192;1,014.03;;;5424;Rural Adjacente;9896.08;13184.24;13177.61;28665.55;64923.48;5913.52;70836.99;5301;13362.95;Administração, defesa, educação e saúde públicas e seguridade social;;57;2;2;5;0;0;5;28;1;3;0;0;0;2;2;3;0;0;0;4;0;0;1;18;;;;;;;492;529;0;;;;3
Acrelândia;AC;0;12538;12535;3;3473;1679;1794;5902;118;508;671;710;3484;411;5807;31152;4079;0.604;0.584;0.808;0.466;-67.05231658;-10.07379389;205.89;184;369;1,807.95;;;15020;Rural Adjacente;91143.89;14.02;32079.69;85106.34;222349.24;5261.66;227610.9;14120;16119.75;Administração, defesa, educação e saúde públicas e seguridade social;22507579;107;2;0;15;0;0;0;56;1;5;1;0;0;1;1;3;8;6;0;8;0;0;1;27;0;1;0;1;0;86310524;1223;3343;0;;;;1
Acreúna;GO;0;20279;20270;9;6485;5636;849;16969;211;1008;1400;1559;11256;1535;112457;452254;2282;0.69;0.71;0.822;0.553;-50.37497337;-17.39815622;542.39;596;2065;1,566.00;;;22182;Urbano;232884.07;47274.38;207423.31;86.03;573612.01;40799.1;614411.11;21905;28048.9;Agricultura, inclusive apoio à agricultura e a pós colheita;46887656;318;19;0;25;0;0;4;160;23;15;3;0;3;9;10;6;16;8;3;14;0;0;;;2;1;2;1;81831560;98509641;4892;3461;3;;;;1
Açu;RN;0;53227;53216;11;14880;11063;3817;41739;601;2546;3312;3934;27195;4151;1301;12773;2889;0.66;0.641;0.795;0.568;-36.91792322;-5.571945999;48.68;4466;1094;1,303.44;Polo Costa Branca;D;57644;Urbano;19768.32;124288.5;324444.15;252219.21;720720.18;62923.66;783.64;57743;13571.24;Administração, defesa, educação e saúde públicas e seguridade social;92773968;843;11;1;59;0;7;39;445;16;64;17;6;2;25;30;2;48;22;10;39;0;0;2;123;1;3;1;3;66058899;871798349;;;;;;;4
Açucena;MG;0;10276;10276;0;3061;1479;1582;4790;66;251;380;516;2825;752;483;1474;3905;0.61;0.595;0.844;0.451;-42.54621088;-19.07671289;473.7;105;227;815.42;Mata Atlântica De Minas;D;9575;Rural Adjacente;17100.04;20186.12;18898.2;36509.15;92693.5;1962.69;94656.19;10066;9403.56;Administração, defesa, educação e saúde públicas e seguridade social;15750762;76;2;1;3;0;1;5;33;1;2;0;0;1;4;2;3;12;1;0;5;0;0;;;;;;;;;1212;1672;1;;;;4
Adamantina;SP;0;33797;33769;28;11335;10777;558;31695;333;1282;1803;2089;20651;5537;14699;69644;69;0.79;0.772;0.852;0.75;-51.07336475;-21.68831148;451.12;1354;7648;411.99;Águas Do Oeste;C;35023;Urbano;41899.77;298402.33;587636.55;151089.03;1079027.68;73.41;1152441.22;35094;32838.7;Demais serviços;115703289;1726;272;0;102;0;4;35;663;102;99;41;21;28;75;79;2;32;65;20;86;0;0;;;3;2;3;2;526179392;823567347;14851;6481;4;;;;1
Adelândia;GO;0;2477;2471;6;846;746;100;2190;27;114;153;174;1435;287;1091;4158;1858;0.7;0.664;0.836;0.622;-50.16314668;-16.41500151;641.11;100;75;115.35;;;2517;Rural Adjacente;7943.41;2.75;8461.79;11114.75;30268.77;1695.42;31964.19;2561;12481.14;Administração, defesa, educação e saúde públicas e seguridade social;11102682;57;1;0;10;0;0;1;30;3;0;0;0;0;1;5;4;1;0;1;0;0;0;;;;;;;;;584;393;0;;;;1
Adolfo;SP;0;3557;3557;0;1200;1081;119;3200;30;149;206;234;2079;502;9755;67479;1044;0.73;0.71;0.844;0.648;-49.64972143;-21.23272978;425.39;520;271;211.06;Coração Do Tietê;D;3571;Rural Adjacente;29090.08;6.14;27.72;21018.78;83.98;2.49;86.47;3616;23911.98;Agricultura, inclusive apoio à agricultura e a pós colheita;;81;10;2;3;0;0;2;33;5;4;0;0;0;2;2;2;3;1;3;9;0;0;;;1;0;1;0;32631770;0;1394;401;0;;;;1
Adrianópolis;PR;0;6376;6376;0;1976;643;1333;2050;26;124;172;220;1258;250;4257;41893;2746;0.667;0.644;0.817;0.563;-48.99175454;-24.66168971;180.71;367;539;1,349.31;;;5983;Rural Adjacente;29899.62;107937.11;40706.69;30010.3;208553.72;30526.62;239080.34;6293;37991.47;Indústrias de transformação;27071690;145;3;3;3;0;0;8;74;18;13;1;1;0;1;3;3;2;2;0;10;0;0;;;1;0;1;0;20476881;0;1437;925;0;;;;3
Adustina;BA;0;15702;15702;0;4544;1704;2840;5545;65;324;437;524;3498;697;26000;26863;5261;0.546;0.526;0.718;0.432;-38.11550583;-10.52957157;280.71;199;81;632.14;Caminhos Do Sertão;E;16784;Rural Adjacente;14279.65;4420.39;29.09;49456.17;97.25;4230.11;101477.93;17254;5881.41;Administração, defesa, educação e saúde públicas e seguridade social;29542520;92;0;0;2;0;0;0;67;0;0;2;0;0;4;2;2;2;0;0;11;0;0;;;;;;;;;262;1185;0;;;;1
Afogados Da Ingazeira;PE;0;35088;35088;0;10879;8667;2212;27335;389;1766;2324;2618;16849;3389;3625;1404;2974;0.657;0.623;0.807;0.565;-37.63768602;-7.748327586;515.35;771;4181;377.70;Território Da Poesia E Da Cantoria;C;37111;Urbano;7.6;33313.36;180015.56;127392.7;348319.5;37329.59;385649.08;36866;10460.83;Administração, defesa, educação e saúde públicas e seguridade social;68786462;527;1;0;27;0;2;13;305;3;24;15;5;2;11;15;9;15;19;9;52;0;0;;;1;2;1;2;95355383;251149663;5737;10461;0;;;;1
Afonso Bezerra;RN;0;10844;10844;0;2948;1602;1346;5736;90;371;497;495;3492;791;711;6358;4539;0.585;0.56;0.713;0.502;-36.50914823;-5.498734268;64.5;163;82;576.18;Polo Costa Branca;D;11041;Rural Adjacente;6021.35;3492.56;18878.04;53155.08;81547.02;3237.99;84785.01;11207;7565.36;Administração, defesa, educação e saúde públicas e seguridade social;29729803;72;1;0;3;0;0;3;49;0;2;1;0;0;1;4;2;4;0;2;0;0;0;;;;;;;;;655;838;0;;;;1
Afonso Cláudio;ES;0;31091;31091;0;9859;5310;4549;15757;215;845;1116;1268;10052;2261;12267;114366;2744;0.667;0.661;0.825;0.544;-41.12545972;-20.07704001;360.8;1230;995;941.19;Montanhas Capixabas;D;30720;Rural Adjacente;103014.12;52.08;167837.75;124250.88;447184.74;25292.01;472476.75;32407;14579.47;Demais serviços;69220540;555;4;12;37;0;1;21;285;9;30;5;4;0;20;12;3;27;20;8;57;0;0;;;0;3;0;3;0;324101608;8131;7984;4;;;;6
Afonso Cunha;MA;0;5905;5905;0;1305;734;571;3230;60;301;373;369;1880;247;6388;17098;5406;0.529;0.471;0.725;0.434;-43.320869;-4.135015477;67.2;89;10;371.34;;;6469;Rural Adjacente;2461.41;1600;8.46;21500.22;34025.09;1434.15;35459.24;6421;5522.39;Administração, defesa, educação e saúde públicas e seguridade social;;14;1;0;0;0;0;0;6;0;0;0;0;1;0;1;2;0;1;0;2;0;0;;;;;;;;;61;519;0;;;;1
Afrânio;PE;0;17586;17586;0;4744;1681;3063;5841;91;477;570;553;3616;534;7000;173;4445;0.588;0.542;0.761;0.493;-41.00579734;-8.511091284;515.84;39;533;1,490.59;;;19456;Rural Adjacente;8158.4;6.73;52942.8;72.46;140286.14;10053.43;150339.57;19225;7820;Administração, defesa, educação e saúde públicas e seguridade social;44498865;141;0;0;11;0;0;2;84;1;6;2;0;0;3;1;3;22;1;1;4;0;0;;;0;1;0;1;0;44765064;809;3677;0;;;;4
Afuá;PA;0;35042;35042;0;6748;1979;4769;9408;185;818;1213;1218;5399;575;140;958;5544;0.489;0.485;0.774;0.311;-50.39142759;-0.159171694;3.14;1521;61;8,338.44;Marajó;D;38863;Rural Remoto;107.97;17984.14;41.2;139565.99;306719.36;9271.89;315991.25;37778;8364.42;Administração, defesa, educação e saúde públicas e seguridade social;;36;0;0;4;0;0;1;20;2;1;0;0;0;1;1;2;0;0;0;4;0;0;;;0;2;0;2;0;50400651;2;4;0;;;;1
Agrestina;PE;0;22679;22679;0;6882;5209;1673;16935;242;1046;1487;1761;10195;2204;361;667;4350;0.59;0.581;0.76;0.47;-35.94677684;-8.455973;437.15;542;520;200.58;Encantos Do Agreste;D;24702;Intermediário Adjacente;20547.52;19200.56;75135.49;89128.35;204011.92;16677.85;220689.77;24454;9024.69;Administração, defesa, educação e saúde públicas e seguridade social;48941210;225;5;2;23;0;2;4;100;3;13;3;0;1;5;5;6;18;9;2;24;0;0;1;8;0;1;0;1;0;33677594;2825;2929;0;;;;3
Agricolândia;PI;0;5098;5098;0;1536;1100;436;3594;46;198;265;379;2100;606;2442;6319;4185;0.599;0.55;0.742;0.526;-42.6591832;-5.795501935;260.44;145;77;112.39;;;5148;Rural Adjacente;1980.61;1453.88;6405.94;18108.2;27948.62;1570.87;29519.49;5069;5823.53;Administração, defesa, educação e saúde públicas e seguridade social;12532965;39;0;0;1;0;0;3;22;0;0;0;0;0;0;0;2;1;1;0;9;0;0;;;;;;;;;282;1185;0;;;;1
Agrolândia;SC;0;9323;9318;5;2952;1927;1025;5951;71;364;421;484;3961;650;3909;26723;1167;0.725;0.727;0.827;0.633;-49.82565339;-27.40051659;383.22;369;603;206.91;Caminhos Do Alto Vale;D;10711;Rural Adjacente;36.18;55228.22;75110.21;43981.83;210497.42;15304.24;225.8;10427;21655.48;Demais serviços;;490;3;0;151;1;0;15;147;19;22;1;2;9;10;20;2;14;8;12;54;0;0;;;1;1;1;1;40876891;58718873;4218;2146;5;;;;1
Agronômica;SC;0;4904;4904;0;1511;589;922;1858;25;95;121;165;1266;186;5945;56156;754;0.741;0.774;0.884;0.595;-49.71836889;-27.26971611;342.19;181;392;129.77;Caminhos Do Alto Vale;D;5385;Urbano;47908.44;22249.14;35.73;24434.96;130322.48;8067.84;138390.31;5371;25766.21;Agricultura, inclusive apoio à agricultura e a pós colheita;16270811;223;1;0;61;1;2;9;65;23;9;0;1;6;2;5;2;7;2;4;23;0;0;;;;;;;;;2135;903;2;;;;1
Água Azul Do Norte;PA;0;25057;25057;0;5847;1123;4724;7340;158;614;737;774;4712;345;5083;22630;4979;0.564;0.563;0.797;0.399;-50.48527451;-6.804948867;296.3;341;49;7,113.96;Araguaia-Tocantins;D;27241;Rural Remoto;151259.91;91612.66;52043.21;88.69;383605.61;48508.82;432114.44;26497;16308.05;Pecuária, inclusive apoio à pecuária;51874219;98;0;0;1;0;1;1;62;6;5;2;0;0;1;1;5;4;3;0;6;0;0;;;0;1;0;1;0;12515715;425;1953;0;;;;1
Água Boa;MT;0;20856;20844;12;6437;5251;1186;16691;288;1047;1464;1551;11228;1113;185610;461368;1068;0.73;0.723;0.829;0.646;-52.1589153;-14.0490868;453.88;1162;2278;7,510.64;;;25229;Urbano;202467.55;62177.81;407268.07;137909.69;809.82;90166.44;899989.55;24032;37449.63;Demais serviços;;794;17;4;55;1;3;39;398;58;39;12;4;15;33;21;5;11;29;6;44;0;0;1;92;1;2;1;2;57173657;648428649;4470;7111;1;;;;3
Água Boa;MG;0;15195;15195;0;4170;2015;2155;6987;103;447;665;873;4115;784;3925;21593;4738;0.58;0.594;0.799;0.403;-42.38964323;-17.99105305;432.45;180;228;1,320.26;Pedras Preciosas;D;13600;Rural Adjacente;34728.98;5.37;36147.74;52772.84;129017.64;5230.06;134247.7;14524;9243.16;Administração, defesa, educação e saúde públicas e seguridade social;;186;4;1;10;0;1;7;93;14;12;1;0;0;4;4;2;9;7;0;17;0;0;;;0;1;0;1;0;36394549;1205;1962;0;;;;2
Água Branca;PI;0;16451;16451;0;4733;4203;530;14525;204;933;1347;1541;8658;1842;822;2168;3329;0.639;0.6;0.763;0.569;-42.63513086;-5.893266338;244.54;743;279;97.04;;;17349;Urbano;2594.09;15331.53;77681.59;66685.33;162292.53;12438.52;174731.05;17068;10237.35;Administração, defesa, educação e saúde públicas e seguridade social;45401009;293;2;0;10;0;1;9;209;2;8;3;0;1;3;6;3;12;8;3;13;0;0;;;0;3;0;3;0;468713834;2117;8713;1;;;;1
Água Branca;AL;0;19377;19377;0;4734;1361;3373;5090;90;361;505;513;3047;574;2708;967;5216;0.55;0.527;0.728;0.432;-37.94071518;-9.267025497;632.66;79;225;468.23;Caminhos Do São Francisco;D;20162;Rural Adjacente;6100.07;4912.19;35505.49;74825.08;121342.82;4884.96;126227.79;20422;6180.97;Administração, defesa, educação e saúde públicas e seguridade social;;111;1;0;4;0;1;3;67;0;5;0;0;0;3;3;4;3;1;2;14;0;0;;;0;1;0;1;0;37717578;957;2347;0;;;;1
