FIELD;DESCRIPTION;REFERENCE;UNIT;SOURCE;
IDHM;HDI Human Development Index;2010;-;http://www.br.undp.org/content/brazil/pt/home/idh0.html;
IDHM_Renda;HDI GNI Index;2010;-;http://www.br.undp.org/content/brazil/pt/home/idh0/rankings/idhm-municipios-2010.html;
IDHM_Longevidade;HDI Life Expectancy index;2010;-;http://www.br.undp.org/content/brazil/pt/home/idh0/rankings/idhm-municipios-2010.html;
IDHM_Educacao;HDI Education index;2010;-;http://www.br.undp.org/content/brazil/pt/home/idh0/rankings/idhm-municipios-2010.html;
LONG;City Latitude ;2010;-;ftp://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades;
LAT;City Longitude ;2010;-;ftp://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades;
ALT;City Elevation (meters);2010;1 meter;ftp://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades;
PAY_TV;PayTV users;2019-03;-;https://cloud.anatel.gov.br/index.php/s/TpaFAwSw7RPfBa8?path=%2FTV_por_Assinatura%2FPor_Municipio;
FIXED_PHONES;Fixed Fones (not cell phones) users;2019-03;-;https://cloud.anatel.gov.br/index.php/s/TpaFAwSw7RPfBa8?path=%2FTelefonia_Fixa%2FPor_Municipio;
AREA;City area (squared kilometers);2018;1 squared Kilometer (1 kilometer = 1,000,000 square meters);https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/15761-areas-dos-municipios.html?t=acesso-ao-produto&c=1;
REGIAO_TUR;Turism Category Region;2017;-;http://dados.turismo.gov.br/mapa-do-turismo-brasileiro;
CATEGORIA_TUR;Turism Category ;2017;-;http://dados.turismo.gov.br/mapa-do-turismo-brasileiro;
ESTIMATED_POP;Estimated Population;2018-07;-;https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?=&t=o-que-e;
RURAL_URBAN;Rural or Urban Tipology;2016;-;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GVA_AGROPEC;Gross Added Value - Agropecuary;2016;$ 1,000 reais;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GVA_INDUSTRY;Gross Added Value - Industry;2016;$ 1,000 reais;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GVA_SERVICES;Gross Added Value - Services;2016;$ 1,000 reais;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GVA_PUBLIC;Gross Added Value - Public Services;2016;$ 1,000 reais;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GVA_TOTAL;Total Gross Added Value;2016;$ 1,000 reais;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
TAXES;Taxes;2016;$ 1,000 reais;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GDP;Gross Domestic Product;2016;$ 1,000 reais;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
POP_GDP;Population;2016;-;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GDP_CAPITA;Gross Domestic Product per capita;2016;-;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GVA_MAIN;Activity with higher GVA contribution;2016;-;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;"Para as variáveis com as maiores atividades econômicas foram consideradas:
Agricultura, inclusive apoio à agricultura e a pós colheita; 
Pecuária, inclusive apoio à pecuária;
Produção florestal, pesca e aquicultura; 
Indústrias extrativas; 
Indústrias de transformação; 
Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;
Construção;
Comércio e reparação de veículos automotores e motocicletas; 
Administração, defesa, educação e saúde públicas e seguridade social; e
Demais serviços. 

A classe Demais serviços compreende a agregação dos setores: 
Transporte, armazenagem e correio; 
Alojamento e alimentação; 
Informação e comunicação; 
Atividades financeiras, de seguros e serviços relacionados; 
Atividades imobiliárias; 
Atividades profissionais, científicas e técnicas, administrativas e serviços complementares;
Educação e saúde privadas; 
Artes, cultura, esporte e recreação e outras atividades de serviços e serviços domésticos."
MUN_EXPENDIT;Municipal expenditures - in reais;2016;$ 1 real;http://www.tesourotransparente.gov.br/ckan/dataset/dcam;
COMP_TOT;Total number of companies;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_A;Number of Companies: Agriculture, livestock, forestry, fishing and aquaculture;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_B;Number of Companies: Extractive industries;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_C;Number of Companies: Industries of transformation;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_D;Number of Companies: Electricity and gas;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_E;Number of Companies: Water, sewage, waste management and decontamination activities;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_F;Number of Companies: Construction;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_G;"Number of Companies: Trade; repair of motor vehicles and motorcycles";2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_H;Number of Companies: Transport, storage and mail;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_I;Number of Companies: Accommodation and food;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_J;Number of Companies: Information and communication;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_K;Number of Companies: Financial, insurance and related services activities;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_L;Number of Companies: Real estate activities;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_M;Number of Companies: Professional, scientific and technical activities;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_N;Number of Companies: Administrative activities and complementary services;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_O;Number of Companies: Public administration, defense and social security;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_P;Number of Companies: Education;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_Q;Number of Companies: Human health and social services;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_R;Number of Companies: Arts, culture, sport and recreation;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_S;Number of Companies: Other service activities;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_T;Number of Companies: Domestic services;2016;-;https://sidra.ibge.gov.br/tabela/993;
COMP_U;Number of Companies: International and other extraterritorial institutions;2016;-;https://sidra.ibge.gov.br/tabela/993;
HOTELS;Total number of hotels;2019-03;-;http://dados.turismo.gov.br/cadastur;
BEDS;Toal number of hotel beds;2019-03;-;http://dados.turismo.gov.br/cadastur;
Pr_Agencies;Total number of private bank agencies;2019-02;-;https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios;
Pu_Agencies;Total number of public bank agencies;2019-02;-;https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios;
Pr_Bank;Total number of private banks;2019-02;-;https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios;
Pu_Bank;Total number of public banks;2019-02;-;https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios;
Pr_Assets;Total amount of private bank assets;2019-02;$ 1 real;https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios;
Pu_Assets;Total amount of public bank assets;2019-02;$ 1 real;https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios;
Cars;Total number of cars;2019-01;-;https://www.denatran.gov.br/estatistica/639-frota-2019;
Motorcycles;Total number of motorcycles, scooters, moped;2019-01;-;https://www.denatran.gov.br/estatistica/639-frota-2019;
Wheeled_tractor;Total number of wheeled tractors;2019-01;-;https://www.denatran.gov.br/estatistica/639-frota-2019;
UBER;1 if UBER ;2019-05;-;https://www.uber.com/en-BR/cities/;
MAC;Total number of Mac Donalds stores;2018-11;-;https://www.mcdonalds.com.br/enderecos;
WALLMART;Total number of Walmart Stores;2018-12;-;https://tabloide.walmartbrasil.com.br/;
POST_OFFICES;Total number of post offices;2019-05;-;http://www2.correios.com.br/sistemas/agencias/;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
